#Coverage	Number of genomic locations
0.0	1088823.0
1.0	225114.0
2.0	86233.0
3.0	69765.0
4.0	68028.0
5.0	73419.0
6.0	80470.0
7.0	84855.0
8.0	90937.0
9.0	99184.0
10.0	104802.0
11.0	108605.0
12.0	112539.0
13.0	116313.0
14.0	116371.0
15.0	116280.0
16.0	116194.0
17.0	112232.0
18.0	111526.0
19.0	107391.0
20.0	104145.0
21.0	101706.0
22.0	99362.0
23.0	95047.0
24.0	91327.0
25.0	87268.0
26.0	84283.0
27.0	81174.0
28.0	77544.0
29.0	74899.0
30.0	72534.0
31.0	68991.0
32.0	66334.0
33.0	63955.0
34.0	61781.0
35.0	59165.0
36.0	55734.0
37.0	53415.0
38.0	51509.0
39.0	49271.0
40.0	46679.0
41.0	44297.0
42.0	42573.0
43.0	41001.0
44.0	39190.0
45.0	37294.0
46.0	35864.0
47.0	34119.0
48.0	33191.0
49.0	31297.0
50.0	29715.0
51.0	28359.0
52.0	27364.0
53.0	26169.0
54.0	24791.0
55.0	23672.0
56.0	22449.0
57.0	21687.0
58.0	20334.0
59.0	19628.0
60.0	19410.0
61.0	18509.0
62.0	17862.0
63.0	17080.0
64.0	16081.0
65.0	15345.0
66.0	14691.0
67.0	14259.0
68.0	13775.0
69.0	13059.0
70.0	12580.0
71.0	11785.0
72.0	11497.0
73.0	10913.0
74.0	10454.0
75.0	9933.0
76.0	9352.0
77.0	8971.0
78.0	8766.0
79.0	8303.0
80.0	8025.0
81.0	7534.0
82.0	7297.0
83.0	7127.0
84.0	6626.0
85.0	6329.0
86.0	6093.0
87.0	5670.0
88.0	5606.0
89.0	5288.0
90.0	4883.0
91.0	4934.0
92.0	4674.0
93.0	4424.0
94.0	4333.0
95.0	4280.0
96.0	4251.0
97.0	3937.0
98.0	3786.0
99.0	3792.0
100.0	3579.0
101.0	3515.0
102.0	3420.0
103.0	3280.0
104.0	3116.0
105.0	2986.0
106.0	2947.0
107.0	2857.0
108.0	2824.0
109.0	2591.0
110.0	2506.0
111.0	2371.0
112.0	2389.0
113.0	2380.0
114.0	2367.0
115.0	2343.0
116.0	2233.0
117.0	2228.0
118.0	2208.0
119.0	2228.0
120.0	2099.0
121.0	2059.0
122.0	1975.0
123.0	1958.0
124.0	2005.0
125.0	1881.0
126.0	1863.0
127.0	1796.0
128.0	1683.0
129.0	1648.0
130.0	1598.0
131.0	1659.0
132.0	1581.0
133.0	1532.0
134.0	1441.0
135.0	1452.0
136.0	1415.0
137.0	1372.0
138.0	1340.0
139.0	1237.0
140.0	1299.0
141.0	1290.0
142.0	1370.0
143.0	1417.0
144.0	1388.0
145.0	1357.0
146.0	1331.0
147.0	1245.0
148.0	1251.0
149.0	1207.0
150.0	1218.0
151.0	1183.0
152.0	1096.0
153.0	1059.0
154.0	1077.0
155.0	1099.0
156.0	1132.0
157.0	1057.0
158.0	989.0
159.0	961.0
160.0	995.0
161.0	1070.0
162.0	1008.0
163.0	965.0
164.0	956.0
165.0	937.0
166.0	956.0
167.0	1040.0
168.0	979.0
169.0	984.0
170.0	859.0
171.0	891.0
172.0	887.0
173.0	928.0
174.0	883.0
175.0	866.0
176.0	818.0
177.0	743.0
178.0	757.0
179.0	779.0
180.0	743.0
181.0	797.0
182.0	773.0
183.0	745.0
184.0	787.0
185.0	719.0
186.0	731.0
187.0	805.0
188.0	722.0
189.0	692.0
190.0	710.0
191.0	696.0
192.0	593.0
193.0	584.0
194.0	575.0
195.0	595.0
196.0	621.0
197.0	674.0
198.0	610.0
199.0	633.0
200.0	649.0
201.0	611.0
202.0	617.0
203.0	642.0
204.0	637.0
205.0	613.0
206.0	614.0
207.0	639.0
208.0	580.0
209.0	578.0
210.0	560.0
211.0	551.0
212.0	559.0
213.0	553.0
214.0	564.0
215.0	558.0
216.0	526.0
217.0	548.0
218.0	520.0
219.0	446.0
220.0	455.0
221.0	439.0
222.0	425.0
223.0	417.0
224.0	448.0
225.0	453.0
226.0	482.0
227.0	488.0
228.0	442.0
229.0	476.0
230.0	407.0
231.0	435.0
232.0	446.0
233.0	411.0
234.0	410.0
235.0	400.0
236.0	393.0
237.0	371.0
238.0	406.0
239.0	384.0
240.0	391.0
241.0	375.0
242.0	387.0
243.0	383.0
244.0	390.0
245.0	377.0
246.0	384.0
247.0	393.0
248.0	366.0
249.0	367.0
250.0	335.0
251.0	309.0
252.0	362.0
253.0	364.0
254.0	313.0
255.0	307.0
256.0	315.0
257.0	340.0
258.0	317.0
259.0	331.0
260.0	338.0
261.0	320.0
262.0	287.0
263.0	291.0
264.0	311.0
265.0	333.0
266.0	279.0
267.0	270.0
268.0	295.0
269.0	297.0
270.0	250.0
271.0	295.0
272.0	311.0
273.0	299.0
274.0	272.0
275.0	287.0
276.0	264.0
277.0	302.0
278.0	282.0
279.0	267.0
280.0	270.0
281.0	293.0
282.0	301.0
283.0	280.0
284.0	289.0
285.0	277.0
286.0	253.0
287.0	243.0
288.0	246.0
289.0	247.0
290.0	226.0
291.0	233.0
292.0	261.0
293.0	241.0
294.0	235.0
295.0	208.0
296.0	222.0
297.0	259.0
298.0	222.0
299.0	235.0
300.0	196.0
301.0	193.0
302.0	216.0
303.0	192.0
304.0	224.0
305.0	205.0
306.0	208.0
307.0	179.0
308.0	235.0
309.0	183.0
310.0	185.0
311.0	202.0
312.0	217.0
313.0	202.0
314.0	180.0
315.0	193.0
316.0	178.0
317.0	160.0
318.0	184.0
319.0	173.0
320.0	154.0
321.0	150.0
322.0	155.0
323.0	159.0
324.0	138.0
325.0	168.0
326.0	165.0
327.0	174.0
