#Mapping quality	mapping quality
0.0	18877.0
1.0	272599.0
2.0	19332.0
3.0	18592.0
4.0	18534.0
5.0	19529.0
6.0	16005.0
7.0	5379.0
8.0	5670.0
9.0	5313.0
10.0	5269.0
11.0	5258.0
12.0	5575.0
13.0	5171.0
14.0	5178.0
15.0	5166.0
16.0	5397.0
17.0	5404.0
18.0	6148.0
19.0	5326.0
20.0	5083.0
21.0	5667.0
22.0	5504.0
23.0	6417.0
24.0	6607.0
25.0	6211.0
26.0	6478.0
27.0	7119.0
28.0	6668.0
29.0	7575.0
30.0	12140.0
31.0	12660.0
32.0	12547.0
33.0	11710.0
34.0	12335.0
35.0	12390.0
36.0	14721.0
37.0	18573.0
38.0	23564.0
39.0	32938.0
40.0	57896.0
41.0	214021.0
42.0	3754468.0
