#Coverage	Number of genomic locations
0.0	1147167.0
1.0	202905.0
2.0	80883.0
3.0	72218.0
4.0	73209.0
5.0	75704.0
6.0	82092.0
7.0	87527.0
8.0	90440.0
9.0	98645.0
10.0	101735.0
11.0	106145.0
12.0	110321.0
13.0	111290.0
14.0	112406.0
15.0	111420.0
16.0	112326.0
17.0	110293.0
18.0	106473.0
19.0	104612.0
20.0	102298.0
21.0	99857.0
22.0	97870.0
23.0	95254.0
24.0	91749.0
25.0	88759.0
26.0	86742.0
27.0	83439.0
28.0	79313.0
29.0	75946.0
30.0	73770.0
31.0	71451.0
32.0	68525.0
33.0	64623.0
34.0	62111.0
35.0	59607.0
36.0	57588.0
37.0	54843.0
38.0	52266.0
39.0	50479.0
40.0	48030.0
41.0	45390.0
42.0	43573.0
43.0	41554.0
44.0	39736.0
45.0	37442.0
46.0	36337.0
47.0	34631.0
48.0	32198.0
49.0	30391.0
50.0	29384.0
51.0	28593.0
52.0	27327.0
53.0	25607.0
54.0	24564.0
55.0	23208.0
56.0	22492.0
57.0	21536.0
58.0	19847.0
59.0	19580.0
60.0	18753.0
61.0	17872.0
62.0	17211.0
63.0	16413.0
64.0	15267.0
65.0	14738.0
66.0	14677.0
67.0	13770.0
68.0	12979.0
69.0	12499.0
70.0	12279.0
71.0	11518.0
72.0	10777.0
73.0	10324.0
74.0	9992.0
75.0	9885.0
76.0	9248.0
77.0	9069.0
78.0	8378.0
79.0	7900.0
80.0	7718.0
81.0	7212.0
82.0	6967.0
83.0	6704.0
84.0	6253.0
85.0	5853.0
86.0	5546.0
87.0	5518.0
88.0	5139.0
89.0	4941.0
90.0	4901.0
91.0	4579.0
92.0	4428.0
93.0	4200.0
94.0	4052.0
95.0	3823.0
96.0	3922.0
97.0	3658.0
98.0	3497.0
99.0	3396.0
100.0	3211.0
101.0	3251.0
102.0	3037.0
103.0	3029.0
104.0	2956.0
105.0	2810.0
106.0	2778.0
107.0	2752.0
108.0	2673.0
109.0	2635.0
110.0	2513.0
111.0	2450.0
112.0	2528.0
113.0	2491.0
114.0	2422.0
115.0	2418.0
116.0	2272.0
117.0	2177.0
118.0	2248.0
119.0	2288.0
120.0	2157.0
121.0	2143.0
122.0	2246.0
123.0	2078.0
124.0	2050.0
125.0	2054.0
126.0	1943.0
127.0	1924.0
128.0	1819.0
129.0	1867.0
130.0	1761.0
131.0	1813.0
132.0	1728.0
133.0	1660.0
134.0	1560.0
135.0	1568.0
136.0	1526.0
137.0	1515.0
138.0	1452.0
139.0	1434.0
140.0	1408.0
