#Mapping quality	mapping quality
0.0	21919.0
1.0	266849.0
2.0	17173.0
3.0	17131.0
4.0	18952.0
5.0	19679.0
6.0	16101.0
7.0	5731.0
8.0	5152.0
9.0	5140.0
10.0	5295.0
11.0	4634.0
12.0	5610.0
13.0	4684.0
14.0	5041.0
15.0	5228.0
16.0	5378.0
17.0	5586.0
18.0	5861.0
19.0	4966.0
20.0	5277.0
21.0	5354.0
22.0	6028.0
23.0	5695.0
24.0	6686.0
25.0	5900.0
26.0	6402.0
27.0	6843.0
28.0	7353.0
29.0	8439.0
30.0	13864.0
31.0	12384.0
32.0	10928.0
33.0	11225.0
34.0	11239.0
35.0	12104.0
36.0	14741.0
37.0	18958.0
38.0	25298.0
39.0	35936.0
40.0	67467.0
41.0	234934.0
42.0	3669505.0
