#Coverage	Number of genomic locations
0.0	1137015.0
1.0	809657.0
2.0	466433.0
3.0	262772.0
4.0	174012.0
5.0	137046.0
6.0	118360.0
7.0	105466.0
8.0	96641.0
9.0	90210.0
10.0	85497.0
11.0	80795.0
12.0	75239.0
13.0	71596.0
14.0	66298.0
15.0	63308.0
16.0	59933.0
17.0	58335.0
18.0	55908.0
19.0	51787.0
20.0	49230.0
21.0	47617.0
22.0	44854.0
23.0	42026.0
24.0	41483.0
25.0	39959.0
26.0	38454.0
27.0	36626.0
28.0	35772.0
29.0	33908.0
30.0	31979.0
31.0	30671.0
32.0	29600.0
33.0	28097.0
34.0	27874.0
35.0	27297.0
36.0	26673.0
37.0	25702.0
38.0	24199.0
39.0	23663.0
40.0	22669.0
41.0	22223.0
42.0	21650.0
43.0	21142.0
44.0	20481.0
45.0	19750.0
46.0	19367.0
47.0	18980.0
48.0	18590.0
49.0	17763.0
50.0	17361.0
51.0	16620.0
52.0	16243.0
53.0	15645.0
54.0	15790.0
55.0	15523.0
56.0	15144.0
57.0	14482.0
58.0	14036.0
59.0	13869.0
60.0	13387.0
61.0	13132.0
62.0	12485.0
63.0	12304.0
64.0	12141.0
65.0	11801.0
66.0	11397.0
67.0	11145.0
68.0	10968.0
69.0	10622.0
70.0	10323.0
71.0	10053.0
72.0	9757.0
73.0	9527.0
74.0	9358.0
75.0	9016.0
76.0	8849.0
77.0	8476.0
78.0	8237.0
79.0	8160.0
80.0	8203.0
81.0	7970.0
82.0	7717.0
83.0	7650.0
84.0	7615.0
85.0	7459.0
86.0	7456.0
87.0	7232.0
88.0	7022.0
89.0	6782.0
90.0	6809.0
91.0	6540.0
92.0	6302.0
93.0	6219.0
94.0	6197.0
95.0	5923.0
96.0	5872.0
97.0	5570.0
98.0	5497.0
99.0	5548.0
100.0	5361.0
101.0	5425.0
102.0	5299.0
103.0	4987.0
104.0	4961.0
105.0	4833.0
106.0	4663.0
107.0	4582.0
108.0	4413.0
109.0	4159.0
110.0	4239.0
111.0	4175.0
112.0	4364.0
113.0	4153.0
114.0	3895.0
115.0	3875.0
116.0	3965.0
117.0	3815.0
118.0	3948.0
119.0	3753.0
120.0	3723.0
121.0	3626.0
122.0	3584.0
123.0	3470.0
124.0	3506.0
125.0	3376.0
126.0	3162.0
127.0	3221.0
128.0	3106.0
129.0	3257.0
130.0	2994.0
131.0	2941.0
132.0	2904.0
133.0	2858.0
134.0	2834.0
135.0	2838.0
136.0	2758.0
137.0	2800.0
138.0	2695.0
139.0	2812.0
140.0	2717.0
141.0	2668.0
142.0	2593.0
143.0	2525.0
144.0	2519.0
145.0	2422.0
146.0	2463.0
147.0	2306.0
148.0	2325.0
149.0	2200.0
150.0	2200.0
151.0	2229.0
152.0	2193.0
153.0	2124.0
154.0	2094.0
155.0	2124.0
156.0	1909.0
157.0	1949.0
158.0	1930.0
159.0	1984.0
160.0	1922.0
161.0	1897.0
162.0	1753.0
163.0	1766.0
164.0	1582.0
165.0	1783.0
166.0	1627.0
167.0	1688.0
168.0	1590.0
169.0	1599.0
170.0	1649.0
171.0	1589.0
172.0	1427.0
173.0	1340.0
174.0	1397.0
175.0	1298.0
176.0	1302.0
177.0	1348.0
178.0	1341.0
179.0	1303.0
180.0	1429.0
181.0	1216.0
182.0	1223.0
183.0	1161.0
184.0	1188.0
185.0	1127.0
186.0	1193.0
187.0	1183.0
188.0	1163.0
189.0	1113.0
190.0	1049.0
191.0	1133.0
192.0	1088.0
193.0	1019.0
194.0	1085.0
195.0	963.0
196.0	998.0
197.0	930.0
198.0	957.0
199.0	884.0
200.0	903.0
201.0	883.0
202.0	839.0
203.0	864.0
204.0	846.0
205.0	889.0
206.0	892.0
207.0	907.0
208.0	870.0
209.0	877.0
210.0	920.0
211.0	912.0
212.0	858.0
213.0	832.0
214.0	799.0
215.0	793.0
216.0	781.0
217.0	771.0
218.0	757.0
219.0	860.0
220.0	812.0
221.0	735.0
222.0	772.0
223.0	755.0
224.0	729.0
225.0	776.0
226.0	754.0
227.0	750.0
228.0	657.0
229.0	793.0
230.0	738.0
231.0	654.0
232.0	725.0
233.0	662.0
234.0	680.0
235.0	676.0
236.0	659.0
237.0	681.0
238.0	607.0
239.0	622.0
240.0	606.0
241.0	559.0
242.0	579.0
243.0	563.0
244.0	524.0
245.0	563.0
246.0	558.0
247.0	528.0
248.0	554.0
249.0	572.0
250.0	591.0
251.0	559.0
252.0	578.0
253.0	540.0
254.0	546.0
255.0	532.0
256.0	553.0
257.0	468.0
258.0	528.0
259.0	521.0
260.0	511.0
261.0	449.0
262.0	514.0
263.0	488.0
264.0	486.0
265.0	476.0
266.0	517.0
267.0	510.0
268.0	493.0
269.0	426.0
270.0	405.0
271.0	428.0
272.0	435.0
273.0	374.0
274.0	425.0
275.0	426.0
276.0	458.0
277.0	422.0
278.0	466.0
279.0	439.0
280.0	380.0
281.0	407.0
282.0	361.0
283.0	394.0
284.0	436.0
285.0	431.0
286.0	396.0
287.0	414.0
288.0	431.0
289.0	413.0
290.0	397.0
291.0	419.0
292.0	341.0
293.0	381.0
294.0	375.0
295.0	370.0
296.0	361.0
297.0	349.0
298.0	334.0
299.0	345.0
300.0	329.0
301.0	327.0
302.0	309.0
303.0	332.0
304.0	303.0
305.0	320.0
306.0	336.0
307.0	329.0
308.0	344.0
309.0	309.0
310.0	326.0
311.0	316.0
312.0	315.0
313.0	283.0
314.0	287.0
315.0	291.0
316.0	281.0
317.0	296.0
318.0	256.0
319.0	294.0
320.0	269.0
321.0	245.0
322.0	266.0
323.0	290.0
324.0	267.0
325.0	298.0
326.0	248.0
327.0	273.0
328.0	229.0
329.0	249.0
330.0	278.0
331.0	254.0
332.0	242.0
333.0	213.0
334.0	179.0
335.0	193.0
336.0	223.0
337.0	215.0
338.0	230.0
339.0	252.0
340.0	208.0
341.0	234.0
342.0	207.0
343.0	224.0
344.0	224.0
345.0	216.0
346.0	193.0
347.0	191.0
348.0	188.0
349.0	205.0
350.0	207.0
351.0	201.0
352.0	181.0
353.0	166.0
354.0	170.0
355.0	159.0
356.0	152.0
357.0	173.0
358.0	153.0
359.0	161.0
360.0	132.0
361.0	126.0
362.0	148.0
363.0	138.0
364.0	106.0
365.0	122.0
366.0	135.0
367.0	115.0
368.0	130.0
369.0	123.0
370.0	103.0
371.0	113.0
372.0	120.0
373.0	141.0
374.0	122.0
375.0	110.0
376.0	116.0
377.0	107.0
378.0	102.0
379.0	117.0
380.0	96.0
381.0	87.0
382.0	95.0
383.0	115.0
384.0	116.0
385.0	106.0
386.0	119.0
387.0	109.0
388.0	156.0
389.0	117.0
390.0	128.0
391.0	116.0
392.0	128.0
393.0	130.0
394.0	102.0
395.0	119.0
