#Mapping quality	mapping quality
0.0	30442.0
1.0	277131.0
2.0	18647.0
3.0	19761.0
4.0	17437.0
5.0	16430.0
6.0	28659.0
7.0	6540.0
8.0	5716.0
9.0	6828.0
10.0	5776.0
11.0	5607.0
12.0	8266.0
13.0	4950.0
14.0	6171.0
15.0	5766.0
16.0	6417.0
17.0	7393.0
18.0	8462.0
19.0	5584.0
20.0	6595.0
21.0	8235.0
22.0	8654.0
23.0	8383.0
24.0	8770.0
25.0	7916.0
26.0	9974.0
27.0	9045.0
28.0	7212.0
29.0	8255.0
30.0	15375.0
31.0	14715.0
32.0	14578.0
33.0	14769.0
34.0	14617.0
35.0	15871.0
36.0	16482.0
37.0	21463.0
38.0	26641.0
39.0	36982.0
40.0	67759.0
41.0	435362.0
42.0	3389186.0
