#Coverage (X)	Coverage
1.0	81.21370563043784
2.0	77.33012505355137
3.0	75.84229853255017
4.0	74.63884853904621
5.0	73.4654200937673
6.0	72.19908013286087
7.0	70.81127367798646
8.0	69.34749890309199
9.0	67.7791663223103
10.0	66.06866273154334
11.0	64.26058910904499
12.0	62.386744140665094
13.0	60.445385196305544
14.0	58.43861723509477
15.0	56.430382703999435
16.0	54.42345945891853
17.0	52.418468635332566
18.0	50.481543908153384
19.0	48.55645526263074
20.0	46.70259015220752
21.0	44.904903295244495
22.0	43.150023025147185
23.0	41.43565459139033
24.0	39.79573614647892
25.0	38.22000170122106
26.0	36.714300281391615
27.0	35.260101345155135
28.0	33.85954435916675
29.0	32.52161853413061
30.0	31.229328913149203
31.0	29.97784444248518
32.0	28.78749005536214
33.0	27.642978917454016
34.0	26.539514482550132
35.0	25.473559729164208
36.0	24.452740820695936
37.0	23.491119574273725
38.0	22.569509805054892
39.0	21.680785708776824
40.0	20.830675534870963
41.0	20.02528711556242
42.0	19.260997160548158
43.0	18.52645269354538
44.0	17.81903114252522
45.0	17.14285615692779
46.0	16.499394306637654
47.0	15.880605337934767
48.0	15.291924186273675
49.0	14.719254526999265
50.0	14.179263495505452
51.0	13.666567917627745
