#Coverage (X)	Coverage
1.0	80.20827707887575
2.0	76.70781631712555
3.0	75.31264250530165
4.0	74.06705882170255
5.0	72.80446292744257
6.0	71.49940552158385
7.0	70.0837514926662
8.0	68.57402994597673
9.0	67.01325451354136
10.0	65.31096371412792
11.0	63.5553242784433
12.0	61.723129894784826
13.0	59.81884928785954
14.0	57.897832530486966
15.0	55.95804367859206
16.0	54.03526703735802
17.0	52.09684123276759
18.0	50.193561344116475
19.0	48.35622533898037
20.0	46.55118837883122
21.0	44.78595585072527
22.0	43.062632713790954
23.0	41.37309244549148
24.0	39.729326411353526
25.0	38.14591404140592
26.0	36.61443549913498
27.0	35.11801660398662
28.0	33.67869041175588
29.0	32.310328948174345
30.0	31.000216189654736
31.0	29.727785650286563
32.0	28.495142289198256
33.0	27.312914424612003
34.0	26.198148774715364
35.0	25.12650027942469
36.0	24.098158730136817
37.0	23.104669782811342
38.0	22.158507908348696
39.0	21.25689525084988
40.0	20.385942530819975
41.0	19.557244277228648
42.0	18.77409595887532
43.0	18.02229772852482
44.0	17.30533484637337
45.0	16.61973930598809
46.0	15.973723898722497
47.0	15.346773899956148
48.0	14.749258821461012
49.0	14.193722149190904
50.0	13.669363027290132
51.0	13.16237844508052
